NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_CELLULAR_RESPONSE_TO_VIRUS	51	47		
GO_CYTOPLASMIC_MRNA_PROCESSING_BODY_ASSEMBLY	21	20		
GO_RESPIRATORY_GASEOUS_EXCHANGE	64	54		
GO_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	86	76		
GO_AMINO_ACID_ACTIVATION	49	30		
GO_DENDRITIC_CELL_DIFFERENTIATION	43	38		
GO_NATURAL_KILLER_CELL_DIFFERENTIATION	22	20		
GO_BONE_TRABECULA_MORPHOGENESIS	13		Rejected!	
GO_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS	23	23		
GO_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	122	118		
GO_NEGATIVE_REGULATION_OF_NEURON_DIFFERENTIATION	222	204		
GO_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	52	45		
GO_MUSCLE_TISSUE_DEVELOPMENT	408	349		
GO_NEGATIVE_REGULATION_OF_PROTEIN_AUTOPHOSPHORYLATION	13		Rejected!	
GO_ACID_SECRETION	123	107		
GO_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	105	100		
GO_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	64	57		
GO_REGULATION_OF_PROTEIN_BINDING	216	204		
GO_CARDIAC_SEPTUM_DEVELOPMENT	109	101		
GO_REGULATION_OF_ICOSANOID_SECRETION	19	17		
GO_L_ALPHA_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	52	45		
GO_REGULATION_OF_HISTONE_METHYLATION	64	57		
GO_POSITIVE_REGULATION_OF_MITOCHONDRIAL_FISSION	15		Rejected!	
GO_ANTIMICROBIAL_HUMORAL_RESPONSE	122	79		
GO_EPIDERMIS_MORPHOGENESIS	29	27		
GO_INTERMEDIATE_FILAMENT_BASED_PROCESS	48	42		
GO_COGNITION	293	259		
GO_RESPONSE_TO_ZINC_ION	55	48		
GO_AXIS_SPECIFICATION	84	73		
GO_PHOSPHATIDYLINOSITOL_METABOLIC_PROCESS	104	100		
GO_CELL_PART_MORPHOGENESIS	675		Rejected!	
GO_PIGMENT_GRANULE_LOCALIZATION	26	26		
GO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	44	36		
GO_RESPONSE_TO_ORGANOPHOSPHORUS	137	126		
GO_AXO_DENDRITIC_TRANSPORT	65	65		
GO_SKELETAL_MUSCLE_TISSUE_REGENERATION	36	30		
GO_POLYSACCHARIDE_BIOSYNTHETIC_PROCESS	75	70		
GO_GLAND_MORPHOGENESIS	119	113		
GO_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	45	43		
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_BY_CIRCULATORY_RENIN_ANGIOTENSIN	19	18		
GO_RIBOSOME_BIOGENESIS	286	279		
GO_B_CELL_HOMEOSTASIS	30	29		
GO_IRE1_MEDIATED_UNFOLDED_PROTEIN_RESPONSE	64	61		
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	25	24		
GO_POSITIVE_REGULATION_OF_ENDOCYTOSIS	96	92		
GO_MRNA_SPLICE_SITE_SELECTION	51	30		
GO_REGULATION_OF_TRANSLATION_IN_RESPONSE_TO_STRESS	18	18		
GO_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	44	37		
GO_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	31	29		
GO_DENDRITIC_CELL_MIGRATION	27	27		
GO_SENSORY_PERCEPTION_OF_TEMPERATURE_STIMULUS	21	17		
GO_LYSOSOMAL_TRANSPORT	104	98		
GO_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS	66	66		
GO_POSITIVE_REGULATION_OF_MACROPHAGE_ACTIVATION	32	25		
GO_REGULATION_OF_CALCIUM_MEDIATED_SIGNALING	102	90		
GO_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION	92	90		
GO_MUSCLE_ORGAN_DEVELOPMENT	410	351		
GO_POSITIVE_REGULATION_OF_HEMOPOIESIS	183	173		
GO_OUTFLOW_TRACT_SEPTUM_MORPHOGENESIS	27	23		
GO_REGULATION_OF_MAMMARY_GLAND_EPITHELIAL_CELL_PROLIFERATION	18	18		
GO_MYELOID_CELL_HOMEOSTASIS	145	142		
GO_REGULATION_OF_BLOOD_PRESSURE	179	156		
GO_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	56	53		
GO_RESPONSE_TO_ELECTRICAL_STIMULUS	42	36		
GO_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE	20	19		
GO_REGULATION_OF_T_CELL_CHEMOTAXIS	16	15		
GO_REGULATION_OF_ERBB_SIGNALING_PATHWAY	93	85		
GO_VENTRICULAR_SEPTUM_MORPHOGENESIS	45	42		
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS	15		Rejected!	
GO_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_DIFFERENTIATION	24	15		
GO_NEGATIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION	70	45		
GO_TOLERANCE_INDUCTION	26	24		
GO_CHEMICAL_HOMEOSTASIS	1184		Rejected!	
GO_SYNAPSE_ORGANIZATION	406	377		
GO_METANEPHROS_DEVELOPMENT	90	87		
GO_REGULATION_OF_MICROTUBULE_BASED_PROCESS	211	206		
GO_NEGATIVE_REGULATION_OF_TRANSPORTER_ACTIVITY	88	71		
GO_ENDOSOME_ORGANIZATION	79	77		
GO_REGULATION_OF_WOUND_HEALING	141	125		
GO_REGULATION_OF_MAPK_CASCADE	761		Rejected!	
GO_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_TISSUE_DEVELOPMENT	28	21		
GO_MYELOID_LEUKOCYTE_MIGRATION	203	185		
GO_COLLAGEN_FIBRIL_ORGANIZATION	53	50		
GO_POSITIVE_REGULATION_OF_NEURON_DEATH	90	86		
GO_RESPONSE_TO_ESTRADIOL	128	117		
GO_CORONARY_VASCULATURE_DEVELOPMENT	50	46		
GO_CARTILAGE_DEVELOPMENT	207	187		
GO_NEURON_PROJECTION_EXTENSION	163	152		
GO_REGULATION_OF_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT	100	75		
GO_PYRIMIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	47	46		
GO_RESPONSE_TO_MUSCLE_STRETCH	19	17		
GO_NEGATIVE_REGULATION_OF_OLIGODENDROCYTE_DIFFERENTIATION	12		Rejected!	
GO_REGULATION_OF_PHOSPHATIDYLINOSITOL_3_KINASE_SIGNALING	123	116		
GO_RESPONSE_TO_COLD	50	48		
GO_NEGATIVE_REGULATION_OF_SODIUM_ION_TRANSPORT	18	17		
GO_CIRCULATORY_SYSTEM_PROCESS	548	483		
GO_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS	8		Rejected!	
GO_NEGATIVE_REGULATION_OF_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	12		Rejected!	
GO_RESPONSE_TO_COCAINE	52	41		
GO_CELL_CHEMOTAXIS	300	269		
GO_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	23	21		
GO_RIBONUCLEOTIDE_CATABOLIC_PROCESS	31	29		
GO_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	9		Rejected!	
GO_DNA_TEMPLATED_TRANSCRIPTION_TERMINATION	74	74		
GO_NEGATIVE_REGULATION_OF_INTERLEUKIN_1_PRODUCTION	29	25		
GO_POSITIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY	67	55		
GO_REGULATION_OF_PROSTAGLANDIN_SECRETION	11		Rejected!	
GO_REGULATION_OF_PODOSOME_ASSEMBLY	15		Rejected!	
GO_CARDIAC_LEFT_VENTRICLE_MORPHOGENESIS	14		Rejected!	
GO_NEGATIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_DIFFERENTIATION	40	31		
GO_RESPONSE_TO_AMINE	46	41		
GO_REGULATION_OF_ORGANIC_ACID_TRANSPORT	58	50		
GO_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	52	51		
GO_PROTEIN_HOMOTETRAMERIZATION	83	79		
GO_HEART_TRABECULA_MORPHOGENESIS	34	31		
GO_RESPIRATORY_CHAIN_COMPLEX_IV_ASSEMBLY	25	24		
GO_VESICLE_LOCALIZATION	304	293		
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	29	25		
GO_POSITIVE_REGULATION_OF_CELL_FATE_COMMITMENT	15		Rejected!	
GO_FOREBRAIN_MORPHOGENESIS	12		Rejected!	
GO_TELOMERE_CAPPING	55	39		
GO_PROSTATE_GLAND_MORPHOGENESIS	28	27		
GO_NEGATIVE_REGULATION_OF_AXON_EXTENSION	42	42		
GO_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	77	74		
GO_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE	237	210		
GO_MYELOID_CELL_DEVELOPMENT	67	66		
GO_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY	253	229		
GO_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY_INVOLVED_IN_APOPTOTIC_PROCESS	66	59		
GO_INTRACELLULAR_PROTEIN_TRANSPORT	1164		Rejected!	
GO_REGULATION_OF_HISTONE_DEACETYLATION	27	24		
GO_REGULATION_OF_PHOSPHATASE_ACTIVITY	172	161		
GO_NEUROTRANSMITTER_UPTAKE	41	38		
GO_MICROTUBULE_ANCHORING	26	25		
GO_CELL_DIVISION	593		Rejected!	
GO_REGULATION_OF_MRNA_CATABOLIC_PROCESS	198	185		
GO_INTERMEDIATE_FILAMENT_ORGANIZATION	22	19		
GO_NEGATIVE_REGULATION_OF_CELL_DIVISION	18	16		
GO_CELLULAR_RESPONSE_TO_UV	79	76		
GO_REGULATION_OF_NUCLEAR_DIVISION	207	193		
GO_RESPONSE_TO_ACID_CHEMICAL	337	310		
GO_RESPONSE_TO_PROSTAGLANDIN_E	23	22		
GO_POSITIVE_REGULATION_OF_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	50	45		
GO_RESPONSE_TO_STEROID_HORMONE	388	354		
GO_POSITIVE_REGULATION_OF_RNA_SPLICING	38	31		
GO_RESPONSE_TO_IMMOBILIZATION_STRESS	27	21		
GO_RESPONSE_TO_INTERLEUKIN_4	35	34		
GO_POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	15		Rejected!	
GO_CARDIAC_CHAMBER_MORPHOGENESIS	129	115		
GO_REGULATION_OF_CARTILAGE_DEVELOPMENT	68	64		
GO_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	46	41		
GO_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS	71	69		
GO_RESPONSE_TO_PEPTIDE	505	454		
GO_DNA_DEPENDENT_DNA_REPLICATION	147	146		
GO_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	21	19		
GO_POSITIVE_REGULATION_OF_CELLULAR_PROTEIN_CATABOLIC_PROCESS	142	137		
GO_STEROL_HOMEOSTASIS	97	77		
GO_EMBRYONIC_AXIS_SPECIFICATION	36	31		
GO_REGULATION_OF_LEUKOCYTE_APOPTOTIC_PROCESS	87	81		
GO_CELLULAR_RESPONSE_TO_LIPID	607		Rejected!	
GO_LIPOPROTEIN_METABOLIC_PROCESS	29	27		
GO_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	17	15		
GO_IRON_COORDINATION_ENTITY_TRANSPORT	13		Rejected!	
GO_PHOSPHATIDYLCHOLINE_BIOSYNTHETIC_PROCESS	38	38		
GO_REGULATION_OF_COAGULATION	82	79		
GO_MEMBRANE_BIOGENESIS	38	35		
GO_REGULATION_OF_EPIDERMIS_DEVELOPMENT	82	74		
GO_FORMATION_OF_PRIMARY_GERM_LAYER	120	108		
GO_NEGATIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	63	48		
GO_ENERGY_RESERVE_METABOLIC_PROCESS	86	77		
GO_GLYCOLIPID_BIOSYNTHETIC_PROCESS	65	63		
GO_REGULATION_OF_ACTIN_NUCLEATION	28	28		
GO_REGULATION_OF_DENDRITIC_CELL_DIFFERENTIATION	12		Rejected!	
GO_EPITHELIAL_CELL_DEVELOPMENT	203	190		
GO_NEGATIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS	75	65		
GO_PROTEIN_LOCALIZATION_TO_KINETOCHORE	17	17		
GO_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION	49	43		
GO_PHOTOPERIODISM	25	24		
GO_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	63	60		
GO_MESENCHYMAL_TO_EPITHELIAL_TRANSITION	20	20		
GO_ESTABLISHMENT_OF_ENDOTHELIAL_INTESTINAL_BARRIER	10		Rejected!	
GO_SALIVARY_GLAND_DEVELOPMENT	37	35		
GO_CELL_CYCLE_DNA_REPLICATION	65	65		
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER	11		Rejected!	
GO_CHROMOSOME_CONDENSATION	43	29		
GO_REGULATION_OF_MONOOXYGENASE_ACTIVITY	64	53		
GO_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS	164	145		
GO_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY	29	29		
GO_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	23	22		
GO_EMBRYONIC_DIGIT_MORPHOGENESIS	61	59		
GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	100	82		
GO_NEGATIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	78	75		
GO_NEGATIVE_REGULATION_OF_GLIOGENESIS	43	34		
GO_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	6		Rejected!	
GO_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	51	46		
GO_REGULATION_OF_PHOSPHOLIPASE_C_ACTIVITY	44	42		
GO_REGULATION_OF_DEVELOPMENTAL_GROWTH	344	296		
GO_MEMBRANE_DISASSEMBLY	16	16		
GO_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	69	64		
GO_ACTIVATION_OF_PHOSPHOLIPASE_C_ACTIVITY	30	28		
GO_NEGATIVE_REGULATION_OF_BIOMINERAL_TISSUE_DEVELOPMENT	25	21		
GO_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS	335	318		
GO_NADP_METABOLIC_PROCESS	13		Rejected!	
GO_POSITIVE_REGULATION_OF_MRNA_PROCESSING	34	27		
GO_EPITHELIAL_TUBE_BRANCHING_INVOLVED_IN_LUNG_MORPHOGENESIS	29	27		
GO_DETECTION_OF_MECHANICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION	28	25		
